id,食品名,エネルギー,たんぱく質,脂質,炭水化物
1,アマランサス　玄穀,343,12.7,6,64.9
2,あわ　精白粒,346,11.2,4.4,69.7
3,あわ　あわもち,210,5.1,1.3,45.3
4,えんばく　オートミール,350,13.7,5.7,69.1
5,おおむぎ　七分つき押麦,343,10.9,2.1,72.1
6,おおむぎ　押麦　乾,329,6.7,1.5,78.3
7,おおむぎ　押麦　めし,118,2.2,0.5,28.5
8,おおむぎ　米粒麦,333,7,2.1,76.2
9,おおむぎ　大麦めん　乾,343,12.9,1.7,68
10,おおむぎ　大麦めん　ゆで,121,4.8,0.6,24.3
11,おおむぎ　麦こがし,368,12.5,5,77.1
12,キヌア　玄穀,344,13.4,3.2,69
13,きび　精白粒,353,11.3,3.3,70.9
14,こむぎ　［玄穀］　国産　普通,329,10.8,3.1,72.1
15,こむぎ　［玄穀］　輸入　軟質,344,10.1,3.3,75.2
16,こむぎ　［玄穀］　輸入　硬質,332,13,3,69.4
17,こむぎ　［小麦粉］　薄力粉　1等,349,8.3,1.5,75.8
18,こむぎ　［小麦粉］　薄力粉　2等,345,9.3,1.9,74.3
19,こむぎ　［小麦粉］　中力粉　1等,337,9,1.6,75.1
20,こむぎ　［小麦粉］　中力粉　2等,346,9.7,1.8,74
21,こむぎ　［小麦粉］　強力粉　1等,337,11.8,1.5,71.7
22,こむぎ　［小麦粉］　強力粉　2等,343,12.6,1.7,70.6
23,こむぎ　［小麦粉］　強力粉　全粒粉,320,12.8,2.9,68.2
24,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335,10.1,1.9,73.6
25,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360,7.8,4,74.4
26,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311,10.2,1.2,70
27,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337,8.8,1.3,76.1
28,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,132,3.3,0.5,30.2
29,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588,4.3,47.7,37
30,こむぎ　［パン類］　角形食パン　食パン,248,8.9,4.1,46.4
31,こむぎ　［パン類］　角形食パン　焼き,269,9.7,4.5,50.6
32,こむぎ　［パン類］　角形食パン　耳を除いたもの,226,8.2,3.7,42.6
33,こむぎ　［パン類］　角形食パン　耳,273,-9.7,-4.5,-50.8
34,こむぎ　［パン類］　食パン　リーンタイプ,246,-8,-3.7,-47.5
35,こむぎ　［パン類］　食パン　リッチタイプ,256,-7.8,-6,-45.6
36,こむぎ　［パン類］　山形食パン　食パン,246,-7.8,-3.5,-47.9
37,こむぎ　［パン類］　コッペパン,259,8.5,3.8,49.1
38,こむぎ　［パン類］　乾パン,386,9.5,4.4,78.8
39,こむぎ　［パン類］　フランスパン,289,9.4,1.3,57.5
40,こむぎ　［パン類］　ライ麦パン,252,8.4,2.2,52.7
41,こむぎ　［パン類］　全粒粉パン,251,7.9,5.7,45.5
42,こむぎ　［パン類］　ぶどうパン,263,8.2,3.5,51.1
43,こむぎ　［パン類］　ロールパン,309,10.1,9,48.6
44,こむぎ　［パン類］　クロワッサン　レギュラータイプ,406,-6.5,-20.4,-51.5
45,こむぎ　［パン類］　クロワッサン　リッチタイプ,438,7.9,26.8,43.9
46,こむぎ　［パン類］　くるみパン,292,-8.2,-12.6,-38.7
47,こむぎ　［パン類］　イングリッシュマフィン,224,8.1,3.6,40.8
48,こむぎ　［パン類］　ナン,257,10.3,3.4,47.6
49,こむぎ　［パン類］　ベーグル,270,9.6,2,54.6
50,こむぎ　［うどん・そうめん類］　うどん　生,249,6.1,0.6,56.8
51,こむぎ　［うどん・そうめん類］　うどん　ゆで,95,2.6,0.4,21.6
52,こむぎ　［うどん・そうめん類］　うどん　半生うどん,296,-7.8,-3.4,-62.5
53,こむぎ　［うどん・そうめん類］　干しうどん　乾,333,8.5,1.1,71.9
54,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,117,3.1,0.5,25.8
55,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,333,9.5,1.1,72.7
56,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,114,3.5,0.4,25.8
57,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,312,9.3,1.5,68.9
58,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,119,3.5,0.6,25.5
59,こむぎ　［中華めん類］　中華めん　生,249,8.6,1.2,55.7
60,こむぎ　［中華めん類］　中華めん　ゆで,133,4.9,0.6,29.2
61,こむぎ　［中華めん類］　半生中華めん　,305,-9.9,-4,-61.2
62,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,162,4.9,1.7,35.6
63,こむぎ　［中華めん類］　蒸し中華めん  ソテー,211,5.2,4.9,38.9
64,こむぎ　［中華めん類］　干し中華めん　乾,337,11.7,1.6,70.2
65,こむぎ　［中華めん類］　干し中華めん　ゆで,131,4.9,0.5,27.5
66,こむぎ　［中華めん類］　沖縄そば　生,266,9.2,2,54.2
67,こむぎ　［中華めん類］　沖縄そば　ゆで,132,5.2,0.8,28
68,こむぎ　［中華めん類］　干し沖縄そば　乾,317,12,1.7,67.8
69,こむぎ　［中華めん類］　干し沖縄そば　ゆで,132,5.2,0.6,28.6
70,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,424,10.1,16.7,63.5
71,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,439,10.1,19.1,61.4
72,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,100,-2.3,-4.4,-13.4
73,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,189,3.9,7.7,27.9
74,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,453,8.9,19.6,65.5
75,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,336,10.3,5.2,67.1
76,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,93,-3,-0.8,-18.7
77,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,139,3.4,0.8,31
78,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,334,8.5,1.9,75.2
79,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,422,10.9,18.5,58.6
80,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,92,-2.5,-4.2,-13.2
81,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,175,3.8,7.7,25.2
82,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,417,10,19.1,54.6
83,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,90,-2.3,-4.5,-12.9
84,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,142,3,5.8,20.7
85,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,418,8.2,18.6,57.5
86,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,222,-5,-11.3,-34.2
87,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,314,9.2,5.8,62.6
88,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,66,-2.5,-2.1,-10.2
89,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,121,3.4,1.3,25.3
90,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,437,10.9,19.8,56.1
91,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,91,-2.2,-4.7,-11.2
92,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,163,2.7,7.2,24.4
93,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,347,12.9,1.8,73.1
94,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150,5.8,0.9,32.2
95,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,186,-5.5,-5.8,-30.5
96,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,232,7.8,1.9,46.9
97,こむぎ　［ふ類］　生ふ,161,12.7,0.8,26.2
98,こむぎ　［ふ類］　焼きふ　釜焼きふ,357,28.5,2.7,56.9
99,こむぎ　［ふ類］　焼きふ　板ふ,351,25.6,3.3,57.3
100,こむぎ　［ふ類］　焼きふ　車ふ,361,30.2,3.4,54.2
101,こむぎ　［ふ類］　油ふ,547,22.7,35.3,34.4
102,こむぎ　［その他］　小麦はいが,391,32,11.6,48.3
103,こむぎ　［その他］　小麦たんぱく　粉末状,398,72,9.7,10.6
104,こむぎ　［その他］　小麦たんぱく　粒状,101,20,2,1.8
105,こむぎ　［その他］　小麦たんぱく　ペースト状,145,25,4.1,3.9
106,こむぎ　［その他］　かやきせんべい,359,10.6,1.9,75.1
107,こむぎ　［その他］　ぎょうざの皮　生,275,9.3,1.4,57
108,こむぎ　［その他］　しゅうまいの皮　生,275,8.3,1.4,58.9
109,こむぎ　［その他］　春巻きの皮　生,288,8.3,1.6,62.2
110,こむぎ　［その他］　春巻きの皮　揚げ,512,7.2,30.7,53.7
111,こむぎ　［その他］　ピザ生地,265,9.1,3,51.1
112,こむぎ　［その他］　ちくわぶ,160,7.1,1.2,31.1
113,こむぎ　［その他］　パン粉　生,277,11,5.1,47.6
114,こむぎ　［その他］　パン粉　半生,315,12.5,5.8,54.3
115,こむぎ　［その他］　パン粉　乾燥,369,14.6,6.8,63.4
116,こむぎ　［その他］　冷めん　生,249,3.9,0.7,57.6
117,こめ　［水稲穀粒］　玄米,346,6.8,2.7,74.3
118,こめ　［水稲穀粒］　半つき米,345,6.5,1.8,75.9
119,こめ　［水稲穀粒］　七分つき米,348,6.3,1.5,76.6
120,こめ　［水稲穀粒］　精白米　うるち米,342,6.1,0.9,77.6
121,こめ　［水稲穀粒］　精白米　もち米,343,6.4,1.2,77.2
122,こめ　［水稲穀粒］　精白米　インディカ米,347,7.4,0.9,77.7
123,こめ　［水稲穀粒］　はいが精米,343,6.5,2,75.8
124,こめ　［水稲穀粒］　発芽玄米,339,6.5,3.3,74.3
125,こめ　［水稲穀粒］　赤米,344,8.5,3.3,71.9
126,こめ　［水稲穀粒］　黒米,341,7.8,3.2,72
127,こめ　［水稲めし］　玄米,152,2.8,1,35.6
128,こめ　［水稲めし］　半つき米,154,2.7,0.6,36.4
129,こめ　［水稲めし］　七分つき米,160,2.6,0.5,36.7
130,こめ　［水稲めし］　精白米　インディカ米,184,3.8,0.4,41.5
131,こめ　［水稲めし］　精白米　うるち米,156,2.5,0.3,37.1
132,こめ　［水稲めし］　精白米　もち米,188,3.5,0.5,43.9
133,こめ　［水稲めし］　はいが精米,159,2.7,0.6,36.4
134,こめ　［水稲めし］　発芽玄米,161,3,1.4,35
135,こめ　［水稲めし］　赤米,150,3.8,1.3,32.7
136,こめ　［水稲めし］　黒米,150,3.6,1.4,32.2
137,こめ　［水稲軟めし］　精白米,113,-1.8,-0.3,-26.4
138,こめ　［水稲全かゆ］　玄米,64,-1.2,-0.4,-15.2
139,こめ　［水稲全かゆ］　半つき米,65,-1.1,-0.3,-15.5
140,こめ　［水稲全かゆ］　七分つき米,68,-1.1,-0.2,-15.6
141,こめ　［水稲全かゆ］　精白米,65,-1.1,-0.1,-15.7
142,こめ　［水稲五分かゆ］　玄米,32,-0.6,-0.2,-7.6
143,こめ　［水稲五分かゆ］　半つき米,32,-0.6,-0.1,-7.7
144,こめ　［水稲五分かゆ］　七分つき米,32,-0.6,-0.1,-7.7
145,こめ　［水稲五分かゆ］　精白米,33,-0.5,-0.1,-7.9
146,こめ　［水稲おもゆ］　玄米,19,-0.4,-0.1,-4.4
147,こめ　［水稲おもゆ］　半つき米,19,-0.3,-0.1,-4.6
148,こめ　［水稲おもゆ］　七分つき米,20,-0.3,-0.1,-4.6
149,こめ　［水稲おもゆ］　精白米,19,-0.3,0,-4.7
150,こめ　［陸稲穀粒］　玄米,357,10.1,2.7,71.1
151,こめ　［陸稲穀粒］　半つき米,356,9.6,1.8,72.9
152,こめ　［陸稲穀粒］　七分つき米,359,9.5,1.5,73.4
153,こめ　［陸稲穀粒］　精白米,331,9.3,0.9,74.5
154,こめ　［陸稲めし］　玄米,156,4.1,1,34.3
155,こめ　［陸稲めし］　半つき米,157,3.8,0.6,35.3
156,こめ　［陸稲めし］　七分つき米,155,3.6,0.5,35.7
157,こめ　［陸稲めし］　精白米,157,3.5,0.3,36.1
158,こめ　［うるち米製品］　アルファ化米　一般用,358,6,1,84.8
159,こめ　［うるち米製品］　アルファ化米　学校給食用強化品,358,6,1,84.8
160,こめ　［うるち米製品］　おにぎり,170,2.7,0.3,39.4
161,こめ　［うるち米製品］　焼きおにぎり,166,3.1,0.3,39.5
162,こめ　［うるち米製品］　きりたんぽ,200,3.2,0.4,46.2
163,こめ　［うるち米製品］　上新粉,343,6.2,0.9,78.5
164,こめ　［うるち米製品］　玄米粉,370,7.1,2.9,84.1
165,こめ　［うるち米製品］　米粉,356,6,0.7,81.9
166,こめ　［うるち米製品］　米粉パン　食パン,247,-10.7,-5.1,-41.6
167,こめ　［うるち米製品］　米粉パン　ロールパン,256,-8.8,-6.7,-42
168,こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,247,3.4,3.1,51.3
169,こめ　［うるち米製品］　米粉めん,252,3.6,0.7,58.4
170,こめ　［うるち米製品］　ビーフン,360,7,1.6,79.9
171,こめ　［うるち米製品］　ライスペーパー,339,0.5,0.3,84.3
172,こめ　［うるち米製品］　米こうじ,260,5.8,1.7,59.2
173,こめ　［もち米製品］　もち,223,4,0.6,50.8
174,こめ　［もち米製品］　赤飯,186,4.3,0.6,41.9
175,こめ　［もち米製品］　あくまき,131,2.3,1.8,25.7
176,こめ　［もち米製品］　白玉粉,347,6.3,1,80
177,こめ　［もち米製品］　道明寺粉,349,7.1,0.7,80.4
178,こめ　［その他］　米ぬか,374,13.4,19.6,48.8
179,そば　そば粉　全層粉,339,12,3.1,69.6
180,そば　そば粉　内層粉,342,6,1.6,77.6
181,そば　そば粉　中層粉,334,10.2,2.7,71.6
182,そば　そば粉　表層粉,337,15,3.6,65.1
183,そば　そば米,347,9.6,2.5,73.7
184,そば　そば　生,271,9.8,1.9,54.5
185,そば　そば　ゆで,130,4.8,1,26
186,そば　そば　半生そば,325,-10.5,-3.8,-61.8
187,そば　干しそば　乾,344,14,2.3,66.7
188,そば　干しそば　ゆで,113,4.8,0.7,22.1
189,とうもろこし　玄穀　黄色種,341,8.6,5,70.6
190,とうもろこし　玄穀　白色種,341,8.6,5,70.6
191,とうもろこし　コーンミール　黄色種,375,8.3,4,72.4
192,とうもろこし　コーンミール　白色種,375,8.3,4,72.4
193,とうもろこし　コーングリッツ　黄色種,352,8.2,1,76.4
194,とうもろこし　コーングリッツ　白色種,352,8.2,1,76.4
195,とうもろこし　コーンフラワー　黄色種,347,6.6,2.8,76.1
196,とうもろこし　コーンフラワー　白色種,347,6.6,2.8,76.1
197,とうもろこし　ジャイアントコーン　フライ　味付け,409,5.7,11.8,76.6
198,とうもろこし　ポップコーン,472,10.2,22.8,59.6
199,とうもろこし　コーンフレーク,380,7.8,1.7,83.6
200,はとむぎ　精白粒,353,13.3,1.3,72.2
201,ひえ　精白粒,361,9.4,3.3,73.2
202,もろこし　玄穀,344,10.3,4.7,71.1
203,もろこし　精白粒,348,9.5,2.6,74.1
204,ライむぎ　全粒粉,317,12.7,2.7,70.7
205,ライむぎ　ライ麦粉,324,8.5,1.6,75.8
206,＜いも類＞　アメリカほどいも　塊根　生,146,5.9,0.6,35.6
207,＜いも類＞　アメリカほどいも　塊根　ゆで,144,6,0.8,34.5
208,＜いも類＞　きくいも　塊茎　生,66,1.9,0.4,14.7
209,＜いも類＞　きくいも　塊茎　水煮,51,1.6,0.5,11.3
210,＜いも類＞　こんにゃく　精粉,194,3,0.1,85.3
211,＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,5,0.1,Tr,2.3
212,＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,8,0.1,0.1,3.3
213,＜いも類＞　こんにゃく　赤こんにゃく,6,0.1,Tr,2.5
214,＜いも類＞　こんにゃく　凍みこんにゃく　乾,192,3.3,1.4,77.1
215,＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,42,0.7,0.3,16.8
216,＜いも類＞　こんにゃく　しらたき,7,0.2,Tr,3
217,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　生,127,0.9,0.5,33.1
218,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　蒸し,129,0.9,0.2,33.7
219,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮つき　天ぷら,205,1.4,6.8,38.4
220,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,126,1.2,0.2,31.9
221,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し,131,1.2,0.2,31.9
222,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　焼き,151,1.4,0.2,39
223,＜いも類＞　（さつまいも類）　さつまいも　蒸し切干,277,3.1,0.6,71.9
224,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　生,123,1.2,0.3,31.7
225,＜いも類＞　（さつまいも類）　むらさきいも　塊根　皮なし　蒸し,122,1.2,0.3,31.4
226,＜いも類＞　（さといも類）　さといも　球茎　生,53,1.5,0.1,13.1
227,＜いも類＞　（さといも類）　さといも　球茎　水煮,52,1.5,0.1,13.4
228,＜いも類＞　（さといも類）　さといも　球茎　冷凍,69,2.2,0.1,16.1
229,＜いも類＞　（さといも類）　セレベス　球茎　生,80,2.2,0.3,19.8
230,＜いも類＞　（さといも類）　セレベス　球茎　水煮,77,2.1,0.3,19.1
231,＜いも類＞　（さといも類）　たけのこいも　球茎　生,97,1.7,0.4,23.5
232,＜いも類＞　（さといも類）　たけのこいも　球茎　水煮,86,1.6,0.4,21.8
233,＜いも類＞　（さといも類）　みずいも　球茎　生,111,0.7,0.4,27.6
234,＜いも類＞　（さといも類）　みずいも　球茎　水煮,101,0.7,0.4,26.1
235,＜いも類＞　（さといも類）　やつがしら　球茎　生,94,3,0.7,20.5
236,＜いも類＞　（さといも類）　やつがしら　球茎　水煮,92,2.7,0.6,20
237,＜いも類＞　じゃがいも　塊茎　皮つき　生,51,1.8,0.1,15.9
238,＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,78,2.1,0.2,19.2
239,＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　（生を揚げたもの）,153,2.7,5.6,25.4
240,＜いも類＞　じゃがいも　塊茎　皮なし　生,59,1.8,0.1,17.3
241,＜いも類＞　じゃがいも　塊茎　皮なし　水煮,71,1.7,0.1,16.9
242,＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,76,1.9,0.3,18.1
243,＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,78,1.9,0.1,19
244,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（生を揚げたもの）,159,2.7,5.9,26.2
245,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）,229,2.9,10.6,32.4
246,＜いも類＞　じゃがいも　乾燥マッシュポテト,347,6.6,0.6,82.8
247,＜いも類＞　ヤーコン　塊根　生,52,0.6,0.3,12.4
248,＜いも類＞　ヤーコン　塊根　水煮,42,0.6,0.3,9.9
249,＜いも類＞　（やまのいも類）　ながいも　いちょういも　塊根　生,108,4.5,0.5,22.6
250,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,64,2.2,0.3,13.9
251,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　水煮,58,2,0.3,12.6
252,＜いも類＞　（やまのいも類）　ながいも　やまといも　塊根　生,119,4.5,0.2,27.1
253,＜いも類＞　（やまのいも類）　じねんじょ　塊根　生,118,2.8,0.7,26.7
254,＜いも類＞　（やまのいも類）　だいじょ　塊根　生,102,2.6,0.1,25
255,＜でん粉・でん粉製品＞　（でん粉類）　おおうばゆりでん粉,327,0.1,0.1,83.6
256,＜でん粉・でん粉製品＞　（でん粉類）　キャッサバでん粉,354,0.1,0.2,85.3
257,＜でん粉・でん粉製品＞　（でん粉類）　くずでん粉,356,0.2,0.2,85.6
258,＜でん粉・でん粉製品＞　（でん粉類）　米でん粉,375,0.2,0.7,89.3
259,＜でん粉・でん粉製品＞　（でん粉類）　小麦でん粉,360,0.2,0.5,86
260,＜でん粉・でん粉製品＞　（でん粉類）　サゴでん粉,357,0.1,0.2,86.1
261,＜でん粉・でん粉製品＞　（でん粉類）　さつまいもでん粉,340,0.1,0.2,82
262,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,338,0.1,0.1,81.6
263,＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,363,0.1,0.7,86.3
264,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　乾,341,0.2,0.2,87.7
265,＜でん粉・でん粉製品＞　（でん粉製品）　くずきり　ゆで,133,0.1,0.1,33.3
266,＜でん粉・でん粉製品＞　（でん粉製品）　ごま豆腐,75,1.5,4.3,9.1
267,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　乾,352,0,0.2,87.8
268,＜でん粉・でん粉製品＞　（でん粉製品）　タピオカパール　ゆで,61,0,Tr,15.4
269,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　生,129,0.1,0.2,32.2
270,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾,347,0.2,0.3,86.7
271,＜でん粉・でん粉製品＞　（でん粉製品）　でん粉めん　乾　ゆで,83,0,0.2,20.6
272,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾,344,0.2,0.4,87.5
273,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　ゆで,78,Tr,0.1,20.6
274,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　乾,346,0,0.2,86.6
275,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　普通はるさめ　ゆで,76,0,Tr,19.9
276,（砂糖類）　黒砂糖,352,1.7,Tr,90.3
277,（砂糖類）　てんさい含蜜糖,357,0.9,Tr,96.9
278,（砂糖類）　和三盆糖,393,0.2,Tr,99
279,（砂糖類）　車糖　上白糖,391,0,0,99.3
280,（砂糖類）　車糖　三温糖,390,Tr,0,99
281,（砂糖類）　ざらめ糖　グラニュー糖,394,0,0,100
282,（砂糖類）　ざらめ糖　白ざら糖,393,0,0,100
283,（砂糖類）　ざらめ糖　中ざら糖,393,0,0,100
284,（砂糖類）　加工糖　角砂糖,394,0,0,100
285,（砂糖類）　加工糖　氷砂糖,394,0,0,100
286,（砂糖類）　加工糖　コーヒーシュガー,394,0.1,0,99.8
287,（砂糖類）　加工糖　粉糖,393,0,0,99.7
288,（砂糖類）　液糖　しょ糖型液糖,267,0,0,67.9
289,（砂糖類）　液糖　転化型液糖,294,0,0,76.6
290,（砂糖類）　氷糖みつ,274,0.2,0,68.2
291,（でん粉糖類）　還元麦芽糖,208,0,Tr,100
292,（でん粉糖類）　還元水あめ,210,0,Tr,69.9
293,（でん粉糖類）　粉あめ,397,0,0,97
294,（でん粉糖類）　水あめ　酵素糖化,342,0,0,85
295,（でん粉糖類）　水あめ　酸糖化,341,0,0,85
296,（でん粉糖類）　ぶどう糖　全糖,342,0,0,91
297,（でん粉糖類）　ぶどう糖　含水結晶,342,0,0,91.3
298,（でん粉糖類）　ぶどう糖　無水結晶,374,0,0,99.7
299,（でん粉糖類）　果糖,375,0,0,99.9
300,（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖,283,0,0,75
301,（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖,283,0,0,75
302,（でん粉糖類）　異性化液糖　高果糖液糖,282,0,0,75
303,（その他）　黒蜜,199,1,0,50.5
304,（その他）　はちみつ,329,0.3,Tr,81.9
305,（その他）　メープルシロップ,266,0.1,0,66.3
306,あずき　全粒　乾,304,20.8,2,59.6
307,あずき　全粒　ゆで,124,8.6,0.8,25.6
308,あずき　ゆで小豆缶詰,202,4.4,0.4,49.2
309,あずき　あん　こし生あん,147,9.8,0.6,27.1
310,あずき　あん　さらしあん　（乾燥あん）,335,23.5,1,66.8
311,あずき　あん　こし練りあん　（並あん）,255,-5.6,-0.3,-58.8
312,あずき　あん　こし練りあん　（中割りあん）,262,-5.1,-0.3,-61.1
313,あずき　あん　こし練りあん　（もなかあん）,292,-5.1,-0.3,-68.6
314,あずき　あん　つぶし練りあん,239,5.6,0.6,54
315,いんげんまめ　全粒　乾,280,22.1,2.5,56.4
316,いんげんまめ　全粒　ゆで,127,9.3,1.2,24.5
317,いんげんまめ　うずら豆,214,6.7,1.3,49.6
318,いんげんまめ　こし生あん,135,9.4,0.9,27
319,いんげんまめ　豆きんとん,238,4.9,0.5,56.2
320,えんどう　全粒　青えんどう　乾,310,21.7,2.3,60.4
321,えんどう　全粒　青えんどう　ゆで,129,9.2,1,25.2
322,えんどう　全粒　赤えんどう　乾,310,21.7,2.3,60.4
323,えんどう　全粒　赤えんどう　ゆで,129,9.2,1,25.2
324,えんどう　グリンピース（揚げ豆）,375,20.8,11.6,58.8
325,えんどう　塩豆,321,23.3,2.4,61.5
326,えんどう　うぐいす豆,228,5.6,0.7,52.9
327,ささげ　全粒　乾,280,23.9,2,55
328,ささげ　全粒　ゆで,130,10.2,0.9,23.8
329,そらまめ　全粒　乾,323,26,2,55.9
330,そらまめ　フライビーンズ,436,24.7,20.8,46.4
331,そらまめ　おたふく豆,237,7.9,1.2,52.2
332,そらまめ　ふき豆,251,9.6,1.6,52.5
333,そらまめ　しょうゆ豆,173,9.8,0.9,37.1
334,だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,354,33.5,19.3,30.1
335,だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,145,15,8.2,9.9
336,だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,372,33.8,19.7,29.5
337,だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,163,14.8,9.8,8.4
338,だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,402,33,21.7,28.8
339,だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,391,32.8,19.5,30.8
340,だいず　［全粒・全粒製品］　全粒　黄大豆　ブラジル産　乾,414,33.6,22.6,30.7
341,だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,349,33.9,18.8,28.9
342,だいず　［全粒・全粒製品］　全粒　黒大豆　国産　ゆで,155,14.7,8.6,9.8
343,だいず　［全粒・全粒製品］　いり大豆　青大豆,425,37.7,20.7,33.9
344,だいず　［全粒・全粒製品］　いり大豆　黄大豆,429,37.5,21.6,33.3
345,だいず　［全粒・全粒製品］　いり大豆　黒大豆,431,36.4,22,34.3
346,だいず　［全粒・全粒製品］　水煮缶詰　黄大豆,124,12.9,6.7,7.7
