id,食品名,エネルギー,たんぱく質,脂質,炭水化物
1675,＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　赤肉　生,142,22,6.1,0.7
1676,＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　生,177,20.8,11.2,0.5
1677,＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　焼き,238,27.2,15.2,0.4
1678,＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　生,489,12,51.8,0.3
1679,＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　ゆで,540,13.2,56.5,0.1
1680,＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　焼き,575,14.5,60.1,0.2
1681,＜畜肉類＞　うし　［交雑牛肉］　リブロース　皮下脂肪なし　生,438,13.6,45.2,0.3
1682,＜畜肉類＞　うし　［交雑牛肉］　リブロース　赤肉　生,338,16.7,32.3,0.4
1683,＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身　生,759,3.6,86.7,0
1684,＜畜肉類＞　うし　［交雑牛肉］　ばら　脂身つき　生,445,12.2,44.4,0.3
1685,＜畜肉類＞　うし　［交雑牛肉］　もも　脂身つき　生,312,16.4,28.9,0.4
1686,＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　生,250,18.3,21.6,0.4
1687,＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　ゆで,331,25.7,28.2,0.2
1688,＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　焼き,313,25,27.6,0.5
1689,＜畜肉類＞　うし　［交雑牛肉］　もも　赤肉　生,222,19.3,17.5,0.5
1690,＜畜肉類＞　うし　［交雑牛肉］　もも　脂身　生,682,4.8,75.8,0.1
1691,＜畜肉類＞　うし　［交雑牛肉］　ヒレ　赤肉　生,229,19,18,0.4
1692,＜畜肉類＞　うし　［輸入牛肉］　かた　脂身つき　生,160,19,10.6,0.1
1693,＜畜肉類＞　うし　［輸入牛肉］　かた　皮下脂肪なし　生,138,19.6,7.8,0.1
1694,＜畜肉類＞　うし　［輸入牛肉］　かた　赤肉　生,114,20.4,4.6,0.1
1695,＜畜肉類＞　うし　［輸入牛肉］　かた　脂身　生,537,7.1,60.5,0
1696,＜畜肉類＞　うし　［輸入牛肉］　かたロース　脂身つき　生,221,17.9,17.4,0.1
1697,＜畜肉類＞　うし　［輸入牛肉］　かたロース　皮下脂肪なし　生,219,18,17.1,0.1
1698,＜畜肉類＞　うし　［輸入牛肉］　かたロース　赤肉　生,160,19.7,9.5,0.1
1699,＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　生,212,20.1,15.4,0.4
1700,＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　ゆで,307,25.8,23.9,0.1
1701,＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　焼き,306,25,23.9,0.3
1702,＜畜肉類＞　うし　［輸入牛肉］　リブロース　皮下脂肪なし　生,203,20.3,14.4,0.4
1703,＜畜肉類＞　うし　［輸入牛肉］　リブロース　赤肉　生,163,21.7,9.1,0.4
1704,＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身　生,653,5.7,73.1,0.1
